age,total,men,women,municipality_id,year
0,4406,807.0,753.0,118,2022
1,4720,874.0,798.0,118,2022
2,4999,901.0,869.0,118,2022
3,5246,960.0,898.0,118,2022
4,5868,1076.0,1002.0,118,2022
5,6494,1178.0,1122.0,118,2022
6,6957,1252.0,1212.0,118,2022
7,6410,1195.0,1075.0,118,2022
8,6482,1197.0,1098.0,118,2022
9,6485,1182.0,1115.0,118,2022
10,6179,1147.0,1041.0,118,2022
11,6022,1094.0,1038.0,118,2022
12,6083,1103.0,1051.0,118,2022
13,5845,1066.0,1004.0,118,2022
14,5652,1010.0,992.0,118,2022
15,5263,930.0,934.0,118,2022
16,4967,893.0,866.0,118,2022
17,5269,946.0,920.0,118,2022
18,4868,912.0,812.0,118,2022
19,4771,898.0,791.0,118,2022
20,4456,871.0,707.0,118,2022
21,4674,934.0,721.0,118,2022
22,4291,858.0,662.0,118,2022
23,4168,805.0,671.0,118,2022
24,4823,941.0,767.0,118,2022
25,5318,1094.0,789.0,118,2022
26,6569,1470.0,856.0,118,2022
27,6325,1280.0,960.0,118,2022
28,6137,1212.0,962.0,118,2022
29,6907,1279.0,1167.0,118,2022
30,7866,1468.0,1318.0,118,2022
31,8457,1582.0,1413.0,118,2022
32,9197,1603.0,1655.0,118,2022
33,9951,1756.0,1769.0,118,2022
34,10453,1850.0,1852.0,118,2022
35,10714,1864.0,1930.0,118,2022
36,10363,1794.0,1876.0,118,2022
37,10367,1821.0,1850.0,118,2022
38,10505,1839.0,1881.0,118,2022
39,9590,1706.0,1690.0,118,2022
40,9021,1607.0,1587.0,118,2022
41,9140,1623.0,1613.0,118,2022
42,8488,1490.0,1516.0,118,2022
43,8306,1448.0,1493.0,118,2022
44,7781,1336.0,1420.0,118,2022
45,7564,1298.0,1381.0,118,2022
46,7683,1333.0,1388.0,118,2022
47,7375,1301.0,1310.0,118,2022
48,6927,1205.0,1248.0,118,2022
49,6854,1205.0,1222.0,118,2022
50,6576,1145.0,1184.0,118,2022
51,6259,1099.0,1117.0,118,2022
52,5918,989.0,1107.0,118,2022
53,5797,985.0,1068.0,118,2022
54,5594,937.0,1044.0,118,2022
55,5586,942.0,1037.0,118,2022
56,5658,917.0,1087.0,118,2022
57,5877,947.0,1134.0,118,2022
58,6176,990.0,1197.0,118,2022
59,6428,984.0,1292.0,118,2022
60,6612,1016.0,1326.0,118,2022
61,6719,967.0,1412.0,118,2022
62,6596,990.0,1346.0,118,2022
63,6578,956.0,1373.0,118,2022
64,6396,922.0,1343.0,118,2022
65,6090,856.0,1300.0,118,2022
66,6041,814.0,1325.0,118,2022
67,6484,910.0,1386.0,118,2022
68,5737,762.0,1270.0,118,2022
69,5800,766.0,1288.0,118,2022
70,5457,714.0,1219.0,118,2022
71,5209,670.0,1174.0,118,2022
72,5407,670.0,1244.0,118,2022
73,4342,530.0,1008.0,118,2022
74,4174,508.0,970.0,118,2022
75,3698,445.0,864.0,118,2022
76,2157,234.0,529.0,118,2022
77,1882,204.0,462.0,118,2022
78,1592,188.0,375.0,118,2022
79,2110,242.0,505.0,118,2022
80,2811,298.0,697.0,118,2022
81,2632,271.0,661.0,118,2022
82,2707,282.0,677.0,118,2022
83,2365,242.0,595.0,118,2022
84,2458,228.0,642.0,118,2022
85,1490,136.0,392.0,118,2022
86,1091,98.0,288.0,118,2022
87,780,64.0,212.0,118,2022
88,561,45.0,154.0,118,2022
90,487,44.0,128.0,118,2022
91,474,38.0,130.0,118,2022
92,375,35.0,98.0,118,2022
93,305,28.0,80.0,118,2022
94,230,23.0,58.0,118,2022
95,184,12.0,53.0,118,2022
96,100,7.0,28.0,118,2022
97,69,4.0,21.0,118,2022
98,27,3.0,7.0,118,2022
99,13,2.0,2.0,118,2022
100,21,2.0,5.0,118,2022
0,4406,594.0,554.0,119,2022
1,4720,643.0,587.0,119,2022
2,4999,663.0,640.0,119,2022
3,5246,706.0,660.0,119,2022
4,5868,792.0,737.0,119,2022
5,6494,867.0,825.0,119,2022
6,6957,921.0,892.0,119,2022
7,6410,879.0,791.0,119,2022
8,6482,881.0,808.0,119,2022
9,6485,869.0,820.0,119,2022
10,6179,844.0,766.0,119,2022
11,6022,805.0,764.0,119,2022
12,6083,812.0,773.0,119,2022
13,5845,784.0,739.0,119,2022
14,5652,743.0,730.0,119,2022
15,5263,684.0,687.0,119,2022
16,4967,657.0,637.0,119,2022
17,5269,696.0,677.0,119,2022
18,4868,671.0,597.0,119,2022
19,4771,661.0,582.0,119,2022
20,4456,641.0,520.0,119,2022
21,4674,687.0,530.0,119,2022
22,4291,631.0,487.0,119,2022
23,4168,592.0,493.0,119,2022
24,4823,692.0,564.0,119,2022
25,5318,805.0,581.0,119,2022
26,6569,1082.0,630.0,119,2022
27,6325,942.0,706.0,119,2022
28,6137,891.0,708.0,119,2022
29,6907,941.0,859.0,119,2022
30,7866,1080.0,970.0,119,2022
31,8457,1164.0,1040.0,119,2022
32,9197,1179.0,1217.0,119,2022
33,9951,1292.0,1301.0,119,2022
34,10453,1361.0,1363.0,119,2022
35,10714,1371.0,1420.0,119,2022
36,10363,1320.0,1380.0,119,2022
37,10367,1340.0,1361.0,119,2022
38,10505,1353.0,1384.0,119,2022
39,9590,1255.0,1243.0,119,2022
40,9021,1183.0,1168.0,119,2022
41,9140,1194.0,1187.0,119,2022
42,8488,1096.0,1115.0,119,2022
43,8306,1066.0,1098.0,119,2022
44,7781,983.0,1045.0,119,2022
45,7564,955.0,1016.0,119,2022
46,7683,980.0,1021.0,119,2022
47,7375,958.0,964.0,119,2022
48,6927,887.0,918.0,119,2022
49,6854,887.0,899.0,119,2022
50,6576,843.0,871.0,119,2022
51,6259,809.0,822.0,119,2022
52,5918,728.0,814.0,119,2022
53,5797,725.0,786.0,119,2022
54,5594,689.0,768.0,119,2022
55,5586,693.0,763.0,119,2022
56,5658,674.0,800.0,119,2022
57,5877,697.0,834.0,119,2022
58,6176,728.0,881.0,119,2022
59,6428,724.0,951.0,119,2022
60,6612,747.0,975.0,119,2022
61,6719,712.0,1039.0,119,2022
62,6596,728.0,990.0,119,2022
63,6578,703.0,1010.0,119,2022
64,6396,678.0,988.0,119,2022
65,6090,630.0,957.0,119,2022
66,6041,599.0,975.0,119,2022
67,6484,670.0,1020.0,119,2022
68,5737,561.0,934.0,119,2022
69,5800,564.0,947.0,119,2022
70,5457,525.0,897.0,119,2022
71,5209,493.0,864.0,119,2022
72,5407,493.0,916.0,119,2022
73,4342,390.0,742.0,119,2022
74,4174,374.0,714.0,119,2022
75,3698,328.0,636.0,119,2022
76,2157,172.0,390.0,119,2022
77,1882,150.0,340.0,119,2022
78,1592,139.0,276.0,119,2022
79,2110,178.0,372.0,119,2022
80,2811,219.0,513.0,119,2022
81,2632,200.0,486.0,119,2022
82,2707,207.0,498.0,119,2022
83,2365,178.0,438.0,119,2022
84,2458,168.0,472.0,119,2022
85,1490,100.0,288.0,119,2022
86,1091,72.0,212.0,119,2022
87,780,47.0,156.0,119,2022
88,561,33.0,113.0,119,2022
90,487,33.0,94.0,119,2022
91,474,28.0,96.0,119,2022
92,375,26.0,72.0,119,2022
93,305,21.0,59.0,119,2022
94,230,17.0,43.0,119,2022
95,184,9.0,39.0,119,2022
96,100,5.0,21.0,119,2022
97,69,3.0,15.0,119,2022
98,27,2.0,5.0,119,2022
99,13,2.0,2.0,119,2022
100,21,2.0,4.0,119,2022
0,4406,29.0,27.0,120,2022
1,4720,31.0,28.0,120,2022
2,4999,32.0,31.0,120,2022
3,5246,34.0,32.0,120,2022
4,5868,38.0,35.0,120,2022
5,6494,42.0,40.0,120,2022
6,6957,44.0,43.0,120,2022
7,6410,42.0,38.0,120,2022
8,6482,42.0,39.0,120,2022
9,6485,42.0,39.0,120,2022
10,6179,41.0,37.0,120,2022
11,6022,39.0,37.0,120,2022
12,6083,39.0,37.0,120,2022
13,5845,38.0,35.0,120,2022
14,5652,36.0,35.0,120,2022
15,5263,33.0,33.0,120,2022
16,4967,32.0,31.0,120,2022
17,5269,33.0,33.0,120,2022
18,4868,32.0,29.0,120,2022
19,4771,32.0,28.0,120,2022
20,4456,31.0,25.0,120,2022
21,4674,33.0,25.0,120,2022
22,4291,30.0,23.0,120,2022
23,4168,28.0,24.0,120,2022
24,4823,33.0,27.0,120,2022
25,5318,39.0,28.0,120,2022
26,6569,52.0,30.0,120,2022
27,6325,45.0,34.0,120,2022
28,6137,43.0,34.0,120,2022
29,6907,45.0,41.0,120,2022
30,7866,52.0,47.0,120,2022
31,8457,56.0,50.0,120,2022
32,9197,57.0,58.0,120,2022
33,9951,62.0,63.0,120,2022
34,10453,65.0,65.0,120,2022
35,10714,66.0,68.0,120,2022
36,10363,63.0,66.0,120,2022
37,10367,64.0,65.0,120,2022
38,10505,65.0,66.0,120,2022
39,9590,60.0,60.0,120,2022
40,9021,57.0,56.0,120,2022
41,9140,57.0,57.0,120,2022
42,8488,53.0,54.0,120,2022
43,8306,51.0,53.0,120,2022
44,7781,47.0,50.0,120,2022
45,7564,46.0,49.0,120,2022
46,7683,47.0,49.0,120,2022
47,7375,46.0,46.0,120,2022
48,6927,43.0,44.0,120,2022
49,6854,43.0,43.0,120,2022
50,6576,40.0,42.0,120,2022
51,6259,39.0,39.0,120,2022
52,5918,35.0,39.0,120,2022
53,5797,35.0,38.0,120,2022
54,5594,33.0,37.0,120,2022
55,5586,33.0,37.0,120,2022
56,5658,32.0,38.0,120,2022
57,5877,33.0,40.0,120,2022
58,6176,35.0,42.0,120,2022
59,6428,35.0,46.0,120,2022
60,6612,36.0,47.0,120,2022
61,6719,34.0,50.0,120,2022
62,6596,35.0,48.0,120,2022
63,6578,34.0,49.0,120,2022
64,6396,33.0,47.0,120,2022
65,6090,30.0,46.0,120,2022
66,6041,29.0,47.0,120,2022
67,6484,32.0,49.0,120,2022
68,5737,27.0,45.0,120,2022
69,5800,27.0,46.0,120,2022
70,5457,25.0,43.0,120,2022
71,5209,24.0,42.0,120,2022
72,5407,24.0,44.0,120,2022
73,4342,19.0,36.0,120,2022
74,4174,18.0,34.0,120,2022
75,3698,16.0,31.0,120,2022
76,2157,8.0,19.0,120,2022
77,1882,7.0,16.0,120,2022
78,1592,7.0,13.0,120,2022
79,2110,9.0,18.0,120,2022
80,2811,11.0,25.0,120,2022
81,2632,10.0,23.0,120,2022
82,2707,10.0,24.0,120,2022
83,2365,9.0,21.0,120,2022
84,2458,8.0,23.0,120,2022
85,1490,5.0,14.0,120,2022
86,1091,3.0,10.0,120,2022
87,780,2.0,7.0,120,2022
88,561,2.0,5.0,120,2022
90,487,2.0,5.0,120,2022
91,474,1.0,5.0,120,2022
92,375,1.0,3.0,120,2022
93,305,1.0,3.0,120,2022
94,230,1.0,2.0,120,2022
95,184,0.0,2.0,120,2022
96,100,0.0,1.0,120,2022
97,69,0.0,1.0,120,2022
98,27,0.0,0.0,120,2022
99,13,0.0,0.0,120,2022
100,21,0.0,0.0,120,2022
0,4406,45.0,42.0,121,2022
1,4720,49.0,44.0,121,2022
2,4999,50.0,48.0,121,2022
3,5246,53.0,50.0,121,2022
4,5868,60.0,56.0,121,2022
5,6494,65.0,62.0,121,2022
6,6957,70.0,67.0,121,2022
7,6410,66.0,60.0,121,2022
8,6482,66.0,61.0,121,2022
9,6485,66.0,62.0,121,2022
10,6179,64.0,58.0,121,2022
11,6022,61.0,58.0,121,2022
12,6083,61.0,58.0,121,2022
13,5845,59.0,56.0,121,2022
14,5652,56.0,55.0,121,2022
15,5263,52.0,52.0,121,2022
16,4967,50.0,48.0,121,2022
17,5269,53.0,51.0,121,2022
18,4868,51.0,45.0,121,2022
19,4771,50.0,44.0,121,2022
20,4456,48.0,39.0,121,2022
21,4674,52.0,40.0,121,2022
22,4291,48.0,37.0,121,2022
23,4168,45.0,37.0,121,2022
24,4823,52.0,43.0,121,2022
25,5318,61.0,44.0,121,2022
26,6569,82.0,48.0,121,2022
27,6325,71.0,53.0,121,2022
28,6137,67.0,53.0,121,2022
29,6907,71.0,65.0,121,2022
30,7866,81.0,73.0,121,2022
31,8457,88.0,78.0,121,2022
32,9197,89.0,92.0,121,2022
33,9951,97.0,98.0,121,2022
34,10453,103.0,103.0,121,2022
35,10714,103.0,107.0,121,2022
36,10363,100.0,104.0,121,2022
37,10367,101.0,103.0,121,2022
38,10505,102.0,104.0,121,2022
39,9590,95.0,94.0,121,2022
40,9021,89.0,88.0,121,2022
41,9140,90.0,90.0,121,2022
42,8488,83.0,84.0,121,2022
43,8306,80.0,83.0,121,2022
44,7781,74.0,79.0,121,2022
45,7564,72.0,77.0,121,2022
46,7683,74.0,77.0,121,2022
47,7375,72.0,73.0,121,2022
48,6927,67.0,69.0,121,2022
49,6854,67.0,68.0,121,2022
50,6576,64.0,66.0,121,2022
51,6259,61.0,62.0,121,2022
52,5918,55.0,61.0,121,2022
53,5797,55.0,59.0,121,2022
54,5594,52.0,58.0,121,2022
55,5586,52.0,58.0,121,2022
56,5658,51.0,60.0,121,2022
57,5877,53.0,63.0,121,2022
58,6176,55.0,66.0,121,2022
59,6428,55.0,72.0,121,2022
60,6612,56.0,74.0,121,2022
61,6719,54.0,78.0,121,2022
62,6596,55.0,75.0,121,2022
63,6578,53.0,76.0,121,2022
64,6396,51.0,75.0,121,2022
65,6090,48.0,72.0,121,2022
66,6041,45.0,74.0,121,2022
67,6484,51.0,77.0,121,2022
68,5737,42.0,70.0,121,2022
69,5800,43.0,71.0,121,2022
70,5457,40.0,68.0,121,2022
71,5209,37.0,65.0,121,2022
72,5407,37.0,69.0,121,2022
73,4342,29.0,56.0,121,2022
74,4174,28.0,54.0,121,2022
75,3698,25.0,48.0,121,2022
76,2157,13.0,29.0,121,2022
77,1882,11.0,26.0,121,2022
78,1592,10.0,21.0,121,2022
79,2110,13.0,28.0,121,2022
80,2811,17.0,39.0,121,2022
81,2632,15.0,37.0,121,2022
82,2707,16.0,38.0,121,2022
83,2365,13.0,33.0,121,2022
84,2458,13.0,36.0,121,2022
85,1490,8.0,22.0,121,2022
86,1091,5.0,16.0,121,2022
87,780,4.0,12.0,121,2022
88,561,2.0,9.0,121,2022
90,487,2.0,7.0,121,2022
91,474,2.0,7.0,121,2022
92,375,2.0,5.0,121,2022
93,305,2.0,4.0,121,2022
94,230,1.0,3.0,121,2022
95,184,1.0,3.0,121,2022
96,100,0.0,2.0,121,2022
97,69,0.0,1.0,121,2022
98,27,0.0,0.0,121,2022
99,13,0.0,0.0,121,2022
100,21,0.0,0.0,121,2022
0,4406,11.0,10.0,122,2022
1,4720,12.0,11.0,122,2022
2,4999,12.0,12.0,122,2022
3,5246,13.0,12.0,122,2022
4,5868,15.0,14.0,122,2022
5,6494,16.0,15.0,122,2022
6,6957,17.0,17.0,122,2022
7,6410,16.0,15.0,122,2022
8,6482,16.0,15.0,122,2022
9,6485,16.0,15.0,122,2022
10,6179,16.0,14.0,122,2022
11,6022,15.0,14.0,122,2022
12,6083,15.0,14.0,122,2022
13,5845,15.0,14.0,122,2022
14,5652,14.0,14.0,122,2022
15,5263,13.0,13.0,122,2022
16,4967,12.0,12.0,122,2022
17,5269,13.0,13.0,122,2022
18,4868,12.0,11.0,122,2022
19,4771,12.0,11.0,122,2022
20,4456,12.0,10.0,122,2022
21,4674,13.0,10.0,122,2022
22,4291,12.0,9.0,122,2022
23,4168,11.0,9.0,122,2022
24,4823,13.0,11.0,122,2022
25,5318,15.0,11.0,122,2022
26,6569,20.0,12.0,122,2022
27,6325,18.0,13.0,122,2022
28,6137,17.0,13.0,122,2022
29,6907,18.0,16.0,122,2022
30,7866,20.0,18.0,122,2022
31,8457,22.0,19.0,122,2022
32,9197,22.0,23.0,122,2022
33,9951,24.0,24.0,122,2022
34,10453,25.0,25.0,122,2022
35,10714,26.0,26.0,122,2022
36,10363,25.0,26.0,122,2022
37,10367,25.0,25.0,122,2022
38,10505,25.0,26.0,122,2022
39,9590,23.0,23.0,122,2022
40,9021,22.0,22.0,122,2022
41,9140,22.0,22.0,122,2022
42,8488,20.0,21.0,122,2022
43,8306,20.0,20.0,122,2022
44,7781,18.0,19.0,122,2022
45,7564,18.0,19.0,122,2022
46,7683,18.0,19.0,122,2022
47,7375,18.0,18.0,122,2022
48,6927,17.0,17.0,122,2022
49,6854,17.0,17.0,122,2022
50,6576,16.0,16.0,122,2022
51,6259,15.0,15.0,122,2022
52,5918,14.0,15.0,122,2022
53,5797,13.0,15.0,122,2022
54,5594,13.0,14.0,122,2022
55,5586,13.0,14.0,122,2022
56,5658,13.0,15.0,122,2022
57,5877,13.0,16.0,122,2022
58,6176,14.0,16.0,122,2022
59,6428,13.0,18.0,122,2022
60,6612,14.0,18.0,122,2022
61,6719,13.0,19.0,122,2022
62,6596,14.0,18.0,122,2022
63,6578,13.0,19.0,122,2022
64,6396,13.0,18.0,122,2022
65,6090,12.0,18.0,122,2022
66,6041,11.0,18.0,122,2022
67,6484,12.0,19.0,122,2022
68,5737,10.0,17.0,122,2022
69,5800,10.0,18.0,122,2022
70,5457,10.0,17.0,122,2022
71,5209,9.0,16.0,122,2022
72,5407,9.0,17.0,122,2022
73,4342,7.0,14.0,122,2022
74,4174,7.0,13.0,122,2022
75,3698,6.0,12.0,122,2022
76,2157,3.0,7.0,122,2022
77,1882,3.0,6.0,122,2022
78,1592,3.0,5.0,122,2022
79,2110,3.0,7.0,122,2022
80,2811,4.0,10.0,122,2022
81,2632,4.0,9.0,122,2022
82,2707,4.0,9.0,122,2022
83,2365,3.0,8.0,122,2022
84,2458,3.0,9.0,122,2022
85,1490,2.0,5.0,122,2022
86,1091,1.0,4.0,122,2022
87,780,1.0,3.0,122,2022
88,561,1.0,2.0,122,2022
90,487,1.0,2.0,122,2022
91,474,1.0,2.0,122,2022
92,375,0.0,1.0,122,2022
93,305,0.0,1.0,122,2022
94,230,0.0,1.0,122,2022
95,184,0.0,1.0,122,2022
96,100,0.0,0.0,122,2022
